File Name,Data Type,File Size (Bytes),CPU Ambient (%),Battery Ambient (%),Best Algorithm
sample-files.com-table-document.docx,DOCX,39301,7.8,88,AES
sample-files.com-template.docx,DOCX,38293,19.0,88,ChaCha20
sample-files.com-tracked-changes.docx,DOCX,39134,7.3,88,ChaCha20
sample-large.json,JSON,463627,8.7,88,ChaCha20
sample-nested.json,JSON,4020,10.0,88,ChaCha20
sample-red-400x300.png,Image,153,4.8,88,PRESENT
sample-simple.xml,XML,153,14.7,88,PRESENT
sample-sitemap.xml,XML,465,8.4,88,ChaCha20
sample-soap.xml,XML,216,7.3,88,ChaCha20
sample-unicode.json,JSON,2788,7.7,88,ChaCha20
sample-users.json,JSON,79049,5.1,88,ChaCha20
sample1.docx,DOCX,1311881,14.2,88,ChaCha20
sample1.json,JSON,65,5.6,88,PRESENT
sample2.json,JSON,265,14.0,88,PRESENT
sample3.json,JSON,288,7.0,88,AES
sample4.json,JSON,451,5.8,88,ChaCha20
sample_100B.txt,Text,100,13.0,88,AES
sample_100KB.txt,Text,102400,9.4,89,AES
sample_100KB2.txt,Text,102400,14.7,89,AES
sample_100KB3.txt,Text,102400,9.9,89,AES
sample_100KB4.txt,Text,102400,8.3,89,AES
sample_10KB.txt,Text,10240,8.0,89,AES
sample_10KB2.txt,Text,10240,8.3,89,ChaCha20
sample_10KB3.txt,Text,10240,18.2,89,AES
sample_10KB4.txt,Text,10240,7.7,89,ChaCha20
sample_110B.txt,Text,110,5.8,89,PRESENT
sample_150B.txt,Text,150,17.4,89,PRESENT
sample_1KB.txt,Text,1024,8.2,89,AES
sample_1KB2.txt,Text,1024,14.9,89,ChaCha20
sample_1KB3.txt,Text,1024,10.0,89,PRESENT
sample_1KB4.txt,Text,1024,6.0,89,ChaCha20
sample_1MB.txt,Text,1048576,6.4,89,AES
sample_1MB2.txt,Text,1048576,8.3,89,AES
sample_1MB3.txt,Text,1048576,7.8,89,AES
sample_1MB4.txt,Text,1048576,12.6,89,AES
sample_200B.txt,Text,200,7.0,89,AES
sample_300B.txt,Text,300,11.1,89,ChaCha20
sample_90B.txt,Text,90,7.4,90,ChaCha20
sample_decrypted.txt,Text,1024,5.4,90,AES
TP4_Python_for_AI.pdf,PDF,204445,12.3,90,AES
wholesale-trade-survey-march-2026-quarter.csv,CSV,1274794,8.5,90,AES
sample-animated-400x300.png,Image,15226,31.5,92,ChaCha20
sample-bumblebee-400x300.png,Image,195459,23.7,92,ChaCha20
sample-indexed-400x300.png,Image,1381,30.2,92,ChaCha20
sample-interlaced-400x300.png,Image,1020,18.9,92,ChaCha20
sample-photo-1920x1080.png,Image,4201559,22.5,92,AES
sample-blank.docx,DOCX,36563,9.6,91,ChaCha20
sample-long.docx,DOCX,165492,15.3,91,ChaCha20
sample-resume.docx,DOCX,37240,10.6,91,ChaCha20
sample-simple.docx,DOCX,38142,18.7,91,ChaCha20
sample-5mb.xml,XML,5242977,5.5,90,ChaCha20
sample-cdata.xml,XML,896,9.0,90,ChaCha20
sample-empty-array (1).json,JSON,2,28.8,90,PRESENT
sample-empty-elements.xml,XML,511,24.1,90,ChaCha20
sample-empty-object (1).json,JSON,2,12.3,90,PRESENT
sample-entities.xml,XML,822,13.9,90,ChaCha20
sample-mixed-content.xml,XML,901,27.7,90,ChaCha20
sample-with-schema.xml,XML,675,33.0,90,ChaCha20
sample-10mb.csv,CSV,10485763,4.5,89,AES
sample-simple.csv,CSV,807,10.0,88,ChaCha20
sample-utf8.csv,CSV,688,10.9,88,ChaCha20
doc-microsoft-word-example-file-download.doc,Unknown,27136,3.4,28,ChaCha20
docx-microsoft-word-example-file-download-2pages.docx,DOCX,12572,19.9,28,PRESENT
docx-microsoft-word-example-file-download.docx,DOCX,12414,32.9,29,ChaCha20
docx-sample-lorem-20-pages.docx,DOCX,29141,19.2,29,ChaCha20
docx-sample-multi-section.docx,DOCX,10545,26.3,29,ChaCha20
docx-sample-with-images.docx,DOCX,9269,8.9,29,ChaCha20
docx-sample-with-table.docx,DOCX,8548,16.3,29,ChaCha20
jpg-example-file-download-1024x1024.jpg,Image,117766,12.3,29,ChaCha20
jpg-example-file-download-2048x2048.jpg,Image,262010,7.7,29,ChaCha20
jpg-example-file-download-500x500.jpg,Image,48396,26.0,29,ChaCha20
jpg-sample-800x600.jpg,Image,19451,20.4,29,ChaCha20
mp3-example-file-download-1min.mp3,Audio,2396995,11.2,29,AES
mp3-sample-30s.mp3,Audio,139252,10.1,29,ChaCha20
mp3-sample-5s.mp3,Audio,24228,9.2,29,ChaCha20
mp3-sample-silence-10s.mp3,Audio,40162,12.3,29,ChaCha20
mp3-sample-stereo.mp3,Audio,43560,8.0,29,ChaCha20
mp4-sample-1080p-5s.mp4,Video,819365,9.3,29,AES
mp4-sample-30s.mp4,Video,4945749,10.1,29,AES
mp4-sample-720p-5s.mp4,Video,2001055,10.7,28,AES
mp4-sample-no-audio.mp4,Video,1950333,8.8,28,ChaCha20
mp4-sample-vertical-1080x1920.mp4,Video,1014781,28.8,28,ChaCha20
pdf-example-file-download-2pages.pdf,PDF,65535,6.7,28,ChaCha20
pdf-example-file-download-3pages.pdf,PDF,67496,10.0,28,ChaCha20
pdf-example-file-download.pdf,PDF,63127,17.8,28,ChaCha20
pdf-sample-50-pages.pdf,PDF,160926,47.9,28,ChaCha20
pdf-sample-a3.pdf,PDF,29621,19.5,28,ChaCha20
pdf-sample-landscape.pdf,PDF,28328,13.9,28,ChaCha20
pdf-sample-with-images.pdf,PDF,19453,12.2,28,ChaCha20
pdf-sample-with-table.pdf,PDF,26890,12.9,28,ChaCha20
csv_empty_cells_sample.csv,CSV,129,64.8,60,PRESENT
csv_sample_file_5MB.csv,CSV,5242937,14.8,61,AES
csv_semicolon_delimited_sample.csv,CSV,121,10.3,61,ChaCha20
csv_utf8_bom_sample.csv,CSV,86,9.3,61,ChaCha20
json_config_document_sample.json,JSON,302,7.6,60,PRESENT
json_sample_file_5MB.json,JSON,5242905,20.9,60,AES
json_truncated_payload_sample.json,JSON,193,8.4,60,ChaCha20
json_unicode_content_sample.json,JSON,204,7.4,60,PRESENT
txt_crlf_log_sample.txt,Text,134,16.8,60,ChaCha20
txt_minimal_readme_sample.txt,Text,100,8.8,60,PRESENT
txt_mixed_whitespace_sample.txt,Text,116,14.6,60,ChaCha20
txt_tab_indented_outline_sample.txt,Text,122,12.1,60,ChaCha20
txt_utf16le_sample.txt,Text,176,12.7,60,ChaCha20
txt_utf8_bom_notes_sample.txt,Text,115,22.9,60,PRESENT
txt_utf8_multilingual_sample.txt,Text,94,18.5,60,ChaCha20
json_deeply_nested_payload_sample.json,JSON,308,5.2,59,ChaCha20
json_duplicate_keys_sample.json,JSON,97,12.8,59,AES
json_large_integer_precision_sample.json,JSON,158,8.4,59,PRESENT
json_minified_webhook_payload_sample.json,JSON,240,23.0,59,PRESENT
json_nested_api_payload_sample.json,JSON,423,17.5,59,ChaCha20
csv_decimal_finance_sample.csv,CSV,139,3.9,62,PRESENT
csv_embedded_json_values_sample.csv,CSV,229,11.0,62,ChaCha20
csv_inconsistent_columns_sample.csv,CSV,118,9.3,62,PRESENT
csv_malformed_quotes_sample.csv,CSV,125,10.5,63,PRESENT
sample_10B.txt,Text,10,17.0,35,ChaCha20
sample_70B.txt,Text,70,14.8,35,PRESENT
sample_80B.txt,Text,80,10.4,35,PRESENT
sample_81B.txt,Text,81,19.9,35,ChaCha20
sample_82B.txt,Text,82,7.6,35,ChaCha20
sample_100KB.csv,CSV,102422,11.8,36,ChaCha20
sample_100KB.json,JSON,102456,12.9,36,ChaCha20
sample_100KB.xml,XML,102484,9.0,36,ChaCha20
sample_10MB.txt,Text,10485930,17.7,36,AES
sample_1MB.csv,CSV,1048601,15.9,37,ChaCha20
sample_1MB.json,JSON,1048593,10.9,37,ChaCha20
sample_1MB.xml,XML,1048652,11.4,38,ChaCha20
sample_500KB.csv,CSV,512004,8.8,38,ChaCha20
sample_500KB.json,JSON,512053,11.0,38,ChaCha20
sample_500KB.xml,XML,512029,14.8,38,AES
16bit-depth-1200x800.png,Image,29375,7.3,65,ChaCha20
api-error-response.json,JSON,1950,26.2,65,ChaCha20
api-response-paginated.json,JSON,5626,13.4,65,ChaCha20
array-of-objects.json,JSON,478,16.9,65,ChaCha20
basic-structure.xml,XML,354,46.3,65,PRESENT
basic-text.pdf,PDF,74656,33.2,64,ChaCha20
cdata-sections.xml,XML,4789,30.1,64,ChaCha20
comments-and-pi.xml,XML,5193,48.9,64,ChaCha20
complex-nested.xml,XML,4038,43.7,64,ChaCha20
complex-structure.json,JSON,790,33.5,64,ChaCha20
csv1.csv,CSV,80,45.3,64,PRESENT
csv2.csv,CSV,81,45.1,64,ChaCha20
csv3.csv,CSV,89,50.6,64,ChaCha20
csv4.csv,CSV,90,26.7,64,PRESENT
csv5.csv,CSV,91,59.9,64,PRESENT
csv6.csv,CSV,83,44.6,64,ChaCha20
csv7.csv,CSV,84,28.9,64,ChaCha20
csv8.csv,CSV,85,36.9,64,ChaCha20
dev-example.pdf,PDF,707486,47.1,64,AES
extended-audio-10min.mp3,Audio,19201883,49.8,64,AES
fillable-form.pdf,PDF,54059,34.1,62,ChaCha20
geojson-sample.json,JSON,6119,26.7,62,ChaCha20
gradient-transparent-1920x1080.png,Image,11309,14.2,62,ChaCha20
highres-photo-4000x3000.png,Image,7172617,18.5,62,AES
icon-64x64.png,Image,506,23.6,62,ChaCha20
image-doc.pdf,PDF,8361227,40.1,61,AES
indexed-color-800x600.png,Image,1582,34.8,61,ChaCha20
interlaced-1024x768.png,Image,561313,41.7,61,AES
international.xml,XML,5931,7.9,61,ChaCha20
json-with-unicode.json,JSON,331,15.9,61,ChaCha20
large-dataset.json,JSON,3899537,21.8,61,AES
large-dataset.xml,XML,5641852,22.0,61,AES
large-doc.pdf,PDF,38589556,26.6,60,AES
logo-transparent-200x200.png,Image,3934,25.8,57,ChaCha20
long-audio-5min.mp3,Audio,7201489,15.2,57,AES
low-bitrate-32kbps.mp3,Audio,240747,22.4,57,ChaCha20
malformed-json.json,JSON,259,9.6,57,ChaCha20
malformed.xml,XML,2648,18.5,57,ChaCha20
mixed-content.xml,XML,884,51.6,57,ChaCha20
music-sample-128kbps.mp3,Audio,961115,25.1,57,AES
music-sample-320kbps.mp3,Audio,2402267,34.8,56,AES
music-sample-vbr.mp3,Audio,1337523,22.5,56,AES
namespaces.xml,XML,831,31.2,56,ChaCha20
nested-objects.json,JSON,523,24.4,56,ChaCha20
pixel-placeholder-1x1.png,Image,70,19.0,56,ChaCha20
protected.pdf,PDF,4870,14.1,56,ChaCha20
sample-10-page-pdf-a4-size.pdf,PDF,2120158,12.9,56,AES
sample-20-page-pdf-a4-size.pdf,PDF,43146,18.8,56,ChaCha20
sample-5-page-pdf-a4-size.pdf,PDF,123179,40.8,56,ChaCha20
sample-50-page-pdf-a4-size.pdf,PDF,123420,18.3,56,ChaCha20
sample-data.jsonl,Unknown,71720,13.3,56,ChaCha20
sample-files.com-basic-text.docx,DOCX,1767687,12.8,56,AES
sample-files.com-image-document.docx,DOCX,11317142,16.4,56,AES
sample-files.com-lists.docx,DOCX,39759,16.6,55,ChaCha20
sample-pdf-a4-size-65kb.pdf,PDF,66156,14.5,55,ChaCha20
sample-pdf-a4-size.pdf,PDF,154871,27.0,55,ChaCha20
sample-pdf-legal-size.pdf,PDF,159498,19.3,55,ChaCha20
sample-pdf-letter-size.pdf,PDF,154711,38.3,54,ChaCha20
sample-text-only-pdf-a4-size.pdf,PDF,102559,20.7,54,ChaCha20
sample10.json,JSON,78,28.4,54,PRESENT
sample11.json,JSON,79,17.0,54,AES
sample12.json,JSON,80,28.0,54,ChaCha20
sample13.json,JSON,81,29.0,54,ChaCha20
sample14.json,JSON,82,20.3,54,ChaCha20
sample15.json,JSON,83,25.0,54,PRESENT
sample16.json,JSON,84,15.6,54,ChaCha20
sample17.json,JSON,85,24.1,54,ChaCha20
sample18.json,JSON,86,43.3,54,ChaCha20
sample19.json,JSON,87,34.3,54,PRESENT
sample2 (1).json,JSON,71,32.6,54,ChaCha20
sample20.json,JSON,88,25.8,54,ChaCha20
sample5.json,JSON,73,21.0,54,ChaCha20
sample6.json,JSON,74,30.8,54,ChaCha20
sample7.json,JSON,75,24.7,54,PRESENT
sample8.json,JSON,76,21.5,54,ChaCha20
sample9.json,JSON,77,14.3,54,ChaCha20
sfx-compilation.mp3,Audio,1441873,12.5,54,AES
silence-5sec-32kbps.mp3,Audio,20694,9.7,53,ChaCha20
simple-object.json,JSON,219,6.7,53,ChaCha20
tone-test.mp3,Audio,641525,13.5,53,ChaCha20
transparent-overlay-1920x1080.png,Image,131348,27.6,53,ChaCha20
vid1.mp4,Video,2097152,24.2,53,AES
vid2.mp4,Video,3145728,13.8,53,ChaCha20
vid3.mp4,Video,4194304,39.2,53,AES
vid4.mp4,Video,5242880,28.6,52,ChaCha20
vid5.mp4,Video,6291456,15.6,52,AES
voice-sample.mp3,Audio,633204,12.1,52,ChaCha20
web-graphic-1200x630.png,Image,68783,23.4,52,ChaCha20
with-schema.zip,Archive,1618,21.3,51,ChaCha20
xml1.xml,XML,114,32.0,51,ChaCha20
xml2.xml,XML,115,23.6,51,ChaCha20
xml3.xml,XML,116,26.3,51,PRESENT
xslt-pair.zip,Archive,2169,24.1,51,ChaCha20
csv9.csv,CSV,90,15.0,38,PRESENT
img1.jpg,Image,2048,18.4,38,ChaCha20
img2 (1).jpg,Image,900,15.6,38,ChaCha20
img2.jpg,Image,3072,26.0,38,ChaCha20
img3.jpg,Image,900,21.4,37,ChaCha20
img4.jpg,Image,71680,15.9,37,ChaCha20
img5.jpg,Image,102400,10.1,37,ChaCha20
vid10.mp4,Video,7340032,7.8,37,AES
vid6.mp4,Video,11534336,11.4,37,AES
vid7.mp4,Video,10485760,15.7,37,AES
vid8.mp4,Video,12058624,21.2,36,AES
vid9.mp4,Video,11848909,22.9,36,AES
csv10.csv,CSV,91,7.3,35,ChaCha20
csv11.csv,CSV,92,15.0,35,AES
csv12.csv,CSV,93,17.0,35,PRESENT
csv13.csv,CSV,94,26.3,35,ChaCha20
